accD	atpA	atpB	atpE	atpF	atpH	atpI	ccsA	cemA	chlI	clpP	infA	petA	petB	petD	petG	petL	psaA	psaB	psaC	psaI	psaJ	psaM	psbA	psbB	psbC	psbD	psbE	psbF	psbH	psbI	psbJ	psbK	psbL	psbM	psbN	psbT	psbZ	rbcL	rpl12	rpl14	rpl16	rpl19	rpl2	rpl20	rpl23	rpl32	rpl36	rpl5	rpoA	rpoB	rpoC1	rpoC2	rps11	rps12	rps14	rps18	rps19	rps2	rps3	rps4	rps7	rps8	rps9	tufA	ycf1	ycf12	ycf20	ycf3	ycf4	cp_mt_ML	atp1	atp4	atp6	atp8	atp9	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6	nad7	rpl14 	rpl16 	rpl5 	rps10	rps11 	rps12 	rps13	rps14 	rps19 	rps2 	rps3 	rps4 
accD	0	2.79577548443542	2.86341153823993	2.41447690241068	1.90601747349349	2.9401000746199	2.63951559901021	5.01216474898367	3.91297271051794	2.51129773326778	2.49185459499075	2.45519984499393	2.55098897786842	2.97619495239447	3.02588588832322	2.71717111746579	2.43780867693586	2.87060707161705	2.72128070582716	3.0988481663865	2.89717662940924	1.9172905117572	3.05610399730625	3.12477473506445	2.93584298517945	3.02200864178905	3.00822529969324	3.06689983294842	3.02434153339993	3.00682357560714	2.84876540692486	2.94515883503321	3.12971440956285	3.13825591053544	2.67847839626673	2.71400738713142	3.18217988253929	3.04713587670472	2.93374817140109	2.35617121818276	2.33017571619365	2.2314253656023	2.87763170974319	2.10414830165168	2.35419024807436	2.52128415865379	1.52613823277355	2.85084078182651	2.07465403207874	1.73031573713476	0.704063408187092	3.19461286414266	3.34718011370799	2.61473850050138	2.95000586697192	2.70509996040639	2.10357078204433	2.82600878136427	2.29068669507529	6.34666943985709	2.04683381918352	2.31515796282769	2.09401831799463	1.60783066996906	2.79329200035899	8.52089508779843	6.2116945759122	1.48980972961627	2.69528873574341	2.38373245189834	1.56133765202122	5.88122157629767	4.55538138299862	4.33204218821076	7.40407604709976	8.22017097851362	8.20093119133354	2.39140782576131	5.64387472547358	6.17198863149123	8.33473330992445	5.54971951648782	8.55587780498999	8.39415479805024	9.00248075699569	1.97671517007489	8.20563856790439	3.11046072480928	1.83871992059103	3.02411218655716	6.49928793955133	0.3884355000065	7.9183202135649	4.33847451113134	4.58647139231084	3.16243351470494	6.31404758256222	0.552306328241408	0.349377424063954	1.93324845491119
atpA	2.79577548443542	0	0.108451669950494	0.436872318779795	1.37522832572175	0.183625230669786	0.819973785878871	7.28376441849803	5.04261894308659	0.299705011621997	0.366489895455178	0.543310137586323	0.355988953174015	0.238290374086602	0.311440466587057	0.388940715425872	0.704850832496302	0.200286406894937	0.263940016767957	0.345666594791204	0.290511189050601	1.13024776557444	0.305462902849937	0.378423236173772	0.192063239591346	0.254944643239349	0.269210907333223	0.309287781808326	0.311022153781854	0.261857527893669	0.40291646777547	0.250565342113605	0.386745358794515	0.411456485181203	0.743869831351682	0.261939024698128	0.55432300325963	0.304806649351701	0.18962413409693	0.530230293023723	0.757951484146624	0.690450326062927	4.55682029007458	0.756383970939573	0.688604295737076	0.353132088624089	1.63984899466011	0.420480743152858	0.73366490337636	3.13094962385828	2.86915216489977	5.5944337029241	5.15028112196334	0.483126503818866	0.165063752882079	0.286570877408384	0.741184614828022	0.0977068238709851	0.609248336664925	7.72690578857615	1.40670805165822	0.521801651851639	1.50597926702554	1.25701362339121	0.122844575104428	10.0984620483282	7.25151588500849	2.00511808859175	0.243102540352307	0.530582416403128	2.77052063584846	7.37897395951269	6.290206448085	6.20642658627145	9.56797622296408	9.94278499922479	9.9153331402299	0.712798583954184	7.07864831742259	7.84553317875128	9.69889831275517	7.50314474329442	9.76886316712126	9.91642943228598	10.3076332630391	3.32344629285877	10.1919849812082	4.01865088198356	4.77872771317969	5.25223144151574	9.4390063902669	0.418201265499228	9.39459021500149	5.70599543484625	5.99742858147397	5.52371516303003	8.07942365468284	0.577296084549814	0.369803986668651	4.87295343440652
atpB	2.86341153823993	0.108451669950494	0	0.508449211114928	1.38980486860801	0.195643727109747	0.810717045629973	7.32069827378503	5.04021146085172	0.370730117326936	0.398706858995723	0.557447994966001	0.395104742041997	0.170144602964329	0.262686543829169	0.350116799862388	0.697905812670697	0.118296333176524	0.243167345625408	0.298410429060372	0.260112332271762	1.16885887430736	0.238533803390441	0.319809957569023	0.101037258908103	0.188426587892085	0.218114047975518	0.223560176651645	0.231944304636319	0.19373763941787	0.442738378158412	0.225071896288077	0.31642406606976	0.351985405383939	0.727464815550519	0.26539315083818	0.504600879067538	0.258233311568344	0.120659822712234	0.576392842126551	0.766171887238178	0.730049874582392	4.56922874012432	0.804913374143085	0.703144944123865	0.427532277984953	1.68008378961024	0.352152342756493	0.799928607195147	3.16554059112093	2.93332562048855	5.66147328387247	5.19382605953542	0.470372398633975	0.150396734430809	0.267600594841015	0.788557206761153	0.146371612494634	0.655108591767189	7.72925662756023	1.40971665981235	0.567337050053628	1.51314540523176	1.31058773568692	0.139918590831432	10.1134840324071	7.2464185495105	2.04038065233953	0.230634273642417	0.559664490238891	2.81008090680447	7.38249603655806	6.30592340811554	6.22815997760673	9.59013492876393	9.94513849141933	9.92614650569465	0.725414430715773	7.09405527480311	7.85476988408322	9.69119887796438	7.52559892094403	9.76637008066987	9.92582841495322	10.3201185256567	3.347639544278	10.2095543551745	4.023117452441	4.91913696001378	5.30210979253565	9.57894146468464	0.412540811864154	9.39967748312515	5.72887246707968	6.02648193290185	5.55675398738051	8.12253787048697	0.576178816198969	0.366711013870096	5.01299419809458
atpE	2.41447690241068	0.436872318779795	0.508449211114928	0	1.18718438269421	0.581517801125833	0.96069425408569	7.03142721692149	4.92094688691272	0.286346579466402	0.290411490222815	0.552771253326328	0.452111958182696	0.6596720734685	0.65550240160073	0.519281631476965	0.685306026950049	0.534464259592942	0.500783573363791	0.691746998746949	0.662248699725635	0.748169286073091	0.660932245318839	0.719280953094202	0.580811480386596	0.634161659614635	0.608237000856733	0.700819665520827	0.647414474419536	0.615864786927059	0.470691296764376	0.660005459930185	0.733476830805889	0.733678997085854	0.90367733695417	0.351932518919968	0.842634731633006	0.640562947499702	0.550818742775374	0.460073962906997	0.69805035514311	0.566978764514964	4.32272598891406	0.537383900142523	0.645954654689224	0.392228971813917	1.40898408148475	0.625359498781944	0.452873036367342	2.92743324586434	2.55669028168815	5.31375455572894	4.96752761119624	0.610151864934443	0.567115814707804	0.398689323825402	0.431774184988562	0.495233872378928	0.512829458290543	7.61618342484326	1.2621218721928	0.296481589064742	1.4121185732338	0.953416145936842	0.495751048277213	9.98521960800769	7.19251609231162	1.79290424051746	0.402783273589645	0.462834209938892	2.56882767793864	7.23983257190901	6.10796775601681	6.00525430676668	9.32657375510743	9.76797034250455	9.76555047582317	0.712700886239599	6.96938709175452	7.68425373395529	9.58711568180233	7.30222299097342	9.7033880448558	9.80648702226802	10.2454712345954	3.12700201743861	9.99121341289669	3.91874621131334	4.35222157698588	5.00099830464356	9.01279187133377	0.425355399732411	9.28362938198409	5.59530111324816	5.8872617419042	5.23771087149042	7.93368816276755	0.583820341538019	0.368125381773477	4.4454139207641
atpF	1.90601747349349	1.37522832572175	1.38980486860801	1.18718438269421	0	1.53325840891893	0.95651454780703	5.99285036340808	3.74248123332495	1.14029809469805	1.03420104898848	0.862223515111757	1.07896243802191	1.44968525960191	1.55541943885053	1.12425415852943	0.723787166921072	1.34611954497875	1.16559534667883	1.66029730648182	1.35571857457132	0.902992783735009	1.57753018967465	1.66122681507489	1.42514227322019	1.5444941889786	1.55631078352856	1.53707214687035	1.51179010263843	1.52769382073992	1.61281449121088	1.44576351536376	1.63566046028328	1.67323526340095	0.973032460328873	1.28320295185736	1.6695763318204	1.60560634037317	1.45902503189199	0.90549766777826	0.644476639605917	0.745113718696664	3.18268163058018	0.710638984313536	0.720093856631962	1.18523895964471	0.542198718643404	1.23305454353524	0.856094951329824	1.90505941911969	1.8580503266985	4.60214130144203	4.03373781263793	0.974350353737594	1.52519333445964	1.21488389428175	0.771467555721962	1.40171326695155	0.847017010997277	6.45941322230281	0.173189269689666	0.914443263485429	0.416253107665637	0.573358448830711	1.32433681712586	8.89086895954375	6.06061262957455	0.800787610496884	1.1880908997771	0.855658373508169	1.60935368089829	6.06860617477761	4.96195597853835	4.88237536503832	8.21130323910009	8.59087194566182	8.61608520687651	0.7695516637061	5.88456486861085	6.52268503099596	8.40494329547457	6.18418869895308	8.57233355941548	8.6824826555906	9.20505787493081	2.019145694243	8.85251802236339	2.78271730779242	4.34335823021967	4.09491093684828	9.00390671226938	0.425145422523895	8.13933976405438	4.56859399587709	4.92268444181961	4.23964788328521	7.04737637095834	0.583504511670978	0.377835194814047	4.4378732673091
atpH	2.9401000746199	0.183625230669786	0.195643727109747	0.581517801125833	1.53325840891893	0	0.898713791939561	7.42377380355487	5.17469119382055	0.450822392821016	0.537895900708822	0.687191185440655	0.48797636987891	0.218433988478366	0.288083336103961	0.527458881511231	0.85179400058678	0.296698506287296	0.396993455142764	0.279056088574901	0.301720606808407	1.29418543223482	0.272272056817664	0.320098761019208	0.232318399041932	0.224545691973048	0.256834931627235	0.278670656407507	0.318038255697071	0.253893282098948	0.419621815807147	0.205357246343471	0.340626712108579	0.362715789806385	0.82764665371243	0.403042373520462	0.519926825638172	0.259943741512224	0.224739724457597	0.671771017356749	0.905978609797739	0.835631801778297	4.71456711893755	0.910825638685918	0.832323594486156	0.457366526451672	1.78532662767485	0.530553661470478	0.883399596018612	3.26493886398101	3.00772789496844	5.70934917307688	5.26300756742626	0.611858709623139	0.116408075983934	0.441441335337034	0.907597826054379	0.142255757963153	0.750168227895702	7.84828509439759	1.56094963615115	0.688792784203775	1.64097888249293	1.41015417283564	0.22797745519492	10.2075146967911	7.35884201062181	2.14715037907917	0.402086361816275	0.686703089235394	2.90026694258879	7.51061506893817	6.42740609282127	6.34530548722806	9.71737061597068	10.085428010756	10.0429280331361	0.847805482255259	7.18829202923429	7.97997993642969	9.82763803536187	7.64086628762391	9.87525836970807	10.0300469447506	10.3977196555827	3.46454225624114	10.3316174254506	4.14058136060283	4.84127340982197	5.38103129273501	9.5007474789582	0.453851053301383	9.51250461701348	5.81036392630707	6.09359233821168	5.67342332982529	8.17122389598113	0.609877472179128	0.395266233730335	4.93518332270304
atpI	2.63951559901021	0.819973785878871	0.810717045629973	0.96069425408569	0.95651454780703	0.898713791939561	0	6.701021101526	4.33046757129266	0.715639953927768	0.714075145741198	0.446431974132332	0.542188928882643	0.765197667676689	0.971386078510786	0.713004155964324	0.485223336339538	0.795819587912098	0.60389042255138	1.0783611381497	0.62626661983499	1.31858673781564	1.00091579553191	1.08456455638059	0.831372773505506	0.952867413913764	1.00483222867893	0.911767257347609	0.956519735556751	0.962225077794171	1.20475805996508	0.727424789386291	1.05537686672733	1.1141966056847	0.140109937040632	0.899975039704631	1.15662624350822	1.04403058857936	0.902841327103342	0.538095535876672	0.460005089794248	0.535522382749221	4.00618574992622	0.686978709849998	0.428029161653649	0.688665995809249	1.20016394040339	0.77883261091798	0.809469984129948	2.53113464271822	2.53053403448482	5.16831051768104	4.52032192250916	0.417836559715439	0.925064498066105	0.823004417678979	0.848526635001865	0.791235693388006	0.535945706324082	6.97822744539027	0.931869868429264	0.743947168869955	0.866767018363865	1.07140931255011	0.712219220422712	9.34433507429095	6.46859287789429	1.47843532453569	0.743986425561261	0.539082159689901	2.18903340231109	6.66201237990447	5.61598599025302	5.55507744846228	8.96483947199151	9.27147466802135	9.19354561822175	0.378243754015552	6.32733437956418	7.15157376959105	8.96994442671308	6.84513916623534	8.984361557633	9.15853004423242	9.52708985816125	2.70264554476877	9.526708222109	3.27809045735472	4.82771660155992	4.71708108799599	9.4866671474315	0.420003851565351	8.63946067948861	4.96974125745311	5.27731940370728	5.02162464621683	7.41885435713974	0.577462463859163	0.377468851984237	4.9212923142344
ccsA	5.01216474898367	7.28376441849803	7.32069827378503	7.03142721692149	5.99285036340808	7.42377380355487	6.701021101526	0	3.34340705038042	7.00689914983061	6.96476406668974	6.77821530300687	6.94920226761132	7.36765833254233	7.49375554295207	7.10333683073573	6.68739643896942	7.30225396313763	7.1027784734459	7.60653386011555	7.2423364212826	6.5527786983203	7.533733201498	7.61955976620643	7.37171581580829	7.49225887745391	7.50773692187817	7.48994021696927	7.47884396672067	7.48270917931116	7.49780272442392	7.33084600264596	7.60038580452221	7.63768693223961	6.77720384312138	7.232321654665	7.65019349024384	7.55469850394352	7.40794293747351	6.75688134997754	6.58170822826736	6.59509363661809	3.27774229092111	6.53983013859612	6.63236629277682	6.99692639490446	5.64829938083186	7.2173532872997	6.6052158171057	4.18229208362532	4.62862861612775	2.89346410520004	2.64960407308837	6.90251613813818	7.44230389283188	7.1776696823206	6.62531964581614	7.29200490553916	6.67918135536682	2.97237145754681	6.01704641630843	6.81209601988112	5.889897030661	6.08181766505479	7.22691955208837	4.16503460105165	3.62884413679595	5.28343143308761	7.14341493536081	6.76716059013165	4.54974023075368	2.59365405785218	1.84094388827145	1.5563559056686	2.69964639872575	4.0103061040166	3.65053817776685	6.63264791881759	2.58679913825169	2.2957032380296	4.54479100988986	1.23616878881297	4.78292328986188	4.10539240891219	5.13357904386581	4.0311024367769	3.38848611552493	3.87079612093695	0.221295411496347	2.34509231913245	4.55688073775217	0.365821404793502	3.79891246082921	2.79600955513315	2.87708015426879	1.9705474709175	3.10664051321022	0.521846801252014	0.32682159523664	0.194020557959527
cemA	3.91297271051794	5.04261894308659	5.04021146085172	4.92094688691272	3.74248123332495	5.17469119382055	4.33046757129266	3.34340705038042	0	4.82852234377678	4.74339232150768	4.50592912315845	4.71930573976396	5.04437182066364	5.18884157378687	4.77376283561337	4.35815710505472	4.98955839239806	4.80105850036656	5.31018808590374	4.92457403587234	4.52605103438292	5.21910175185437	5.30339785199398	5.05898790817225	5.18551151123853	5.21442450671141	5.1461250760531	5.14684345693876	5.17466660146809	5.33686299529623	5.03042407143454	5.264916164544	5.31668945486675	4.39256439539416	4.98551317224838	5.31623024998086	5.26267675528066	5.11369778438658	4.56640727595999	4.29138319372702	4.40872415195641	1.5030536230357	4.40708919319847	4.36120036969135	4.83711947634255	3.62296518519361	4.84774181046452	4.54103713354076	2.42822644939192	3.44021025413061	4.00053895055607	2.55684003449898	4.57594202438825	5.17839764557551	4.90204974065587	4.50686373023778	5.04764782572051	4.50112088672709	2.78165682932586	3.68150155277475	4.64183883574646	3.54328332858659	4.10169821095095	4.96257976955327	5.44458148706413	2.51664150894994	3.25959063784371	4.8658294609811	4.53470226068726	2.7770352190635	2.3716287997499	1.61983608036393	1.80860632852603	4.96159070202501	4.96213769260305	4.98912842675345	4.356121764707	2.66522359322838	2.91641524431088	4.67059693774583	2.92513691521563	4.9589844694302	5.11172090021597	5.95469163768297	2.040813877447	5.36212444598973	1.21052905518587	4.13533335244463	2.85900595941914	8.79718621414627	0.460219811966407	4.49024602368696	2.09585497856984	2.69967687985898	2.58270856823239	4.76816966720571	0.637768090595697	0.367264409637234	4.22891357114313
chlI	2.51129773326778	0.299705011621997	0.370730117326936	0.286346579466402	1.14029809469805	0.450822392821016	0.715639953927768	7.00689914983061	4.82852234377678	0	0.20623212839341	0.366508132338991	0.191362251142955	0.479749260272868	0.568028463320954	0.42058780570986	0.551913353695338	0.408710348961768	0.300608223066308	0.633060961181504	0.439129511847865	0.928396113760324	0.586601937747191	0.6624246902058	0.450041013245203	0.537174196009589	0.545755894372301	0.581864770871821	0.56986704903754	0.538024231960224	0.561994944233772	0.458239073875323	0.667168445837026	0.689871441170679	0.664327453218856	0.353765985871259	0.699444448707913	0.587047379795059	0.459537724686932	0.280782084617417	0.559984304349747	0.436159162813875	4.31129754058342	0.480612666924025	0.488087650868237	0.168536140785386	1.36371700403435	0.52708774716892	0.444791509672261	2.86223587236605	2.57919297866113	5.30876477216294	4.88577301185205	0.396275642883698	0.457071504106091	0.347606395670879	0.487527783207803	0.329008474699139	0.349934774633317	7.50833944878889	1.19305645750838	0.283227395536888	1.289254244384	0.972398111245622	0.293404722958208	9.86754336613817	7.05538945823052	1.73413610402734	0.295271889356632	0.307868052917804	2.49926629194587	7.15242018664001	6.04253860216484	5.94923661460317	9.30543515480682	9.71264904245843	9.67824797942018	0.523488865897665	6.84795060364594	7.61279099464138	9.49288411191926	7.24510875960525	9.56753643976573	9.69071012464836	10.095966016639	3.06466644520446	9.93837498626388	3.80054335450743	4.48612311890041	4.96912620656793	9.14593135296163	0.384512716393592	9.17248211519874	5.46995670764546	5.75963615463033	5.24232595965221	7.82836900183865	0.547001541601314	0.34656921252533	4.57992023072194
