accD	atpA	atpB	atpE	atpF	atpH	atpI	ccsA	cemA	chlI	clpP	infA	petA	petB	petD	petG	petL	psaA	psaB	psaC	psaI	psaJ	psaM	psbA	psbB	psbC	psbD	psbE	psbF	psbH	psbI	psbJ	psbK	psbL	psbM	psbN	psbT	psbZ	rbcL	rpl12	rpl14	rpl16	rpl19	rpl2	rpl20	rpl23	rpl32	rpl36	rpl5	rpoA	rpoB	rpoC1	rpoC2	rps11	rps12	rps14	rps18	rps19	rps2	rps3	rps4	rps7	rps8	rps9	tufA	ycf1	ycf12	ycf20	ycf3	ycf4	cp_mt_ML	atp1	atp4	atp6	atp8	atp9	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6	nad7	rpl14 	rpl16 	rpl5 	rps10	rps11 	rps12 	rps13	rps14 	rps19 	rps2 	rps3 	rps4 
accD	1	0.638888888888889	0.714285714285714	0.666666666666667	0.742857142857143	0.485714285714286	0.705882352941177	0.555555555555556	0.676470588235294	0.588235294117647	0.555555555555556	0.514285714285714	0.548387096774194	0.6	0.611111111111111	0.4	0.633333333333333	0.777777777777778	0.75	0.555555555555556	0.388888888888889	0.470588235294118	0.433333333333333	0.527777777777778	0.666666666666667	0.612903225806452	0.638888888888889	0.611111111111111	0.388888888888889	0.472222222222222	0.388888888888889	0.388888888888889	0.444444444444444	0.305555555555556	0.416666666666667	0.352941176470588	0.366666666666667	0.444444444444444	0.638888888888889	0.666666666666667	0.583333333333333	0.555555555555556	0.638888888888889	0.611111111111111	0.527777777777778	0.545454545454545	0.483870967741935	0.5	0.566666666666667	0.647058823529412	0.558823529411765	0.676470588235294	0.733333333333333	0.694444444444444	0.65625	0.611111111111111	0.555555555555556	0.583333333333333	0.666666666666667	0.722222222222222	0.638888888888889	0.5	0.555555555555556	0.611111111111111	0.75	0.666666666666667	0.470588235294118	0.741935483870968	0.617647058823529	0.647058823529412	0.666666666666667	0.708333333333333	0.652173913043478	0.708333333333333	0.652173913043478	0.625	0.666666666666667	0.619047619047619	0.708333333333333	0.625	0.625	0.666666666666667	0.583333333333333	0.666666666666667	0.708333333333333	0.708333333333333	0.652173913043478	0.625	0.652173913043478	0.75	0.636363636363636	0.736842105263158	0.625	0.666666666666667	0.739130434782609	0.619047619047619	0.608695652173913	0.727272727272727	0.733333333333333	0.65
atpA	0.638888888888889	1	0.714285714285714	0.638888888888889	0.714285714285714	0.514285714285714	0.676470588235294	0.638888888888889	0.764705882352941	0.705882352941177	0.638888888888889	0.514285714285714	0.612903225806452	0.628571428571429	0.611111111111111	0.428571428571429	0.666666666666667	0.861111111111111	0.805555555555556	0.611111111111111	0.472222222222222	0.470588235294118	0.366666666666667	0.555555555555556	0.638888888888889	0.612903225806452	0.666666666666667	0.638888888888889	0.388888888888889	0.472222222222222	0.388888888888889	0.388888888888889	0.5	0.361111111111111	0.444444444444444	0.441176470588235	0.366666666666667	0.416666666666667	0.611111111111111	0.638888888888889	0.611111111111111	0.527777777777778	0.638888888888889	0.722222222222222	0.583333333333333	0.575757575757576	0.548387096774194	0.555555555555556	0.5	0.794117647058823	0.647058823529412	0.823529411764706	0.866666666666667	0.722222222222222	0.625	0.583333333333333	0.527777777777778	0.555555555555556	0.694444444444444	0.75	0.555555555555556	0.527777777777778	0.555555555555556	0.611111111111111	0.666666666666667	0.833333333333333	0.5	0.741935483870968	0.676470588235294	0.676470588235294	0.75	0.75	0.739130434782609	0.708333333333333	0.782608695652174	0.541666666666667	0.666666666666667	0.761904761904762	0.708333333333333	0.75	0.708333333333333	0.75	0.708333333333333	0.833333333333333	0.666666666666667	0.75	0.739130434782609	0.75	0.739130434782609	0.75	0.772727272727273	0.894736842105263	0.666666666666667	0.708333333333333	0.782608695652174	0.761904761904762	0.695652173913043	0.863636363636364	0.866666666666667	0.85
atpB	0.714285714285714	0.714285714285714	1	0.6	0.647058823529412	0.588235294117647	0.636363636363636	0.628571428571429	0.696969696969697	0.757575757575758	0.714285714285714	0.529411764705882	0.666666666666667	0.647058823529412	0.685714285714286	0.441176470588235	0.689655172413793	0.771428571428571	0.685714285714286	0.6	0.371428571428571	0.441176470588235	0.448275862068966	0.542857142857143	0.771428571428571	0.733333333333333	0.628571428571429	0.571428571428571	0.342857142857143	0.514285714285714	0.4	0.457142857142857	0.514285714285714	0.314285714285714	0.371428571428571	0.424242424242424	0.413793103448276	0.457142857142857	0.685714285714286	0.657142857142857	0.514285714285714	0.628571428571429	0.628571428571429	0.628571428571429	0.571428571428571	0.53125	0.5	0.6	0.5	0.666666666666667	0.636363636363636	0.696969696969697	0.758620689655172	0.685714285714286	0.65625	0.657142857142857	0.485714285714286	0.685714285714286	0.685714285714286	0.742857142857143	0.628571428571429	0.514285714285714	0.628571428571429	0.685714285714286	0.771428571428571	0.685714285714286	0.515151515151515	0.633333333333333	0.696969696969697	0.696969696969697	0.714285714285714	0.833333333333333	0.826086956521739	0.791666666666667	0.782608695652174	0.583333333333333	0.708333333333333	0.761904761904762	0.791666666666667	0.75	0.708333333333333	0.791666666666667	0.708333333333333	0.791666666666667	0.708333333333333	0.791666666666667	0.782608695652174	0.75	0.782608695652174	0.875	0.772727272727273	0.894736842105263	0.708333333333333	0.791666666666667	0.826086956521739	0.761904761904762	0.739130434782609	0.863636363636364	0.866666666666667	0.8
atpE	0.666666666666667	0.638888888888889	0.6	1	0.657142857142857	0.428571428571429	0.735294117647059	0.611111111111111	0.647058823529412	0.647058823529412	0.555555555555556	0.514285714285714	0.612903225806452	0.514285714285714	0.555555555555556	0.428571428571429	0.566666666666667	0.666666666666667	0.638888888888889	0.527777777777778	0.444444444444444	0.5	0.466666666666667	0.611111111111111	0.611111111111111	0.516129032258065	0.555555555555556	0.583333333333333	0.388888888888889	0.472222222222222	0.444444444444444	0.444444444444444	0.5	0.305555555555556	0.361111111111111	0.352941176470588	0.4	0.527777777777778	0.583333333333333	0.555555555555556	0.666666666666667	0.472222222222222	0.583333333333333	0.638888888888889	0.5	0.515151515151515	0.451612903225806	0.472222222222222	0.466666666666667	0.647058823529412	0.558823529411765	0.676470588235294	0.7	0.694444444444444	0.46875	0.583333333333333	0.583333333333333	0.555555555555556	0.583333333333333	0.638888888888889	0.555555555555556	0.444444444444444	0.583333333333333	0.583333333333333	0.583333333333333	0.666666666666667	0.441176470588235	0.67741935483871	0.529411764705882	0.558823529411765	0.555555555555556	0.541666666666667	0.565217391304348	0.583333333333333	0.565217391304348	0.625	0.541666666666667	0.571428571428571	0.541666666666667	0.541666666666667	0.5	0.583333333333333	0.625	0.625	0.708333333333333	0.666666666666667	0.565217391304348	0.541666666666667	0.565217391304348	0.625	0.545454545454545	0.631578947368421	0.625	0.625	0.652173913043478	0.571428571428571	0.565217391304348	0.636363636363636	0.733333333333333	0.65
atpF	0.742857142857143	0.714285714285714	0.647058823529412	0.657142857142857	1	0.470588235294118	0.727272727272727	0.657142857142857	0.727272727272727	0.676470588235294	0.571428571428571	0.5	0.7	0.705882352941177	0.657142857142857	0.542857142857143	0.620689655172414	0.771428571428571	0.8	0.571428571428571	0.428571428571429	0.515151515151515	0.413793103448276	0.6	0.685714285714286	0.6	0.714285714285714	0.685714285714286	0.4	0.514285714285714	0.428571428571429	0.4	0.485714285714286	0.314285714285714	0.428571428571429	0.393939393939394	0.413793103448276	0.6	0.685714285714286	0.685714285714286	0.628571428571429	0.628571428571429	0.714285714285714	0.657142857142857	0.685714285714286	0.65625	0.5	0.514285714285714	0.551724137931034	0.757575757575758	0.787878787878788	0.757575757575758	0.827586206896552	0.714285714285714	0.612903225806452	0.685714285714286	0.6	0.6	0.714285714285714	0.714285714285714	0.628571428571429	0.542857142857143	0.571428571428571	0.6	0.742857142857143	0.771428571428571	0.454545454545455	0.7	0.606060606060606	0.727272727272727	0.714285714285714	0.75	0.652173913043478	0.708333333333333	0.695652173913043	0.583333333333333	0.666666666666667	0.761904761904762	0.625	0.625	0.708333333333333	0.791666666666667	0.75	0.791666666666667	0.708333333333333	0.708333333333333	0.695652173913043	0.75	0.695652173913043	0.666666666666667	0.681818181818182	0.789473684210526	0.708333333333333	0.666666666666667	0.695652173913043	0.761904761904762	0.739130434782609	0.772727272727273	0.733333333333333	0.7
atpH	0.514285714285714	0.542857142857143	0.617647058823529	0.457142857142857	0.5	1	0.470588235294118	0.514285714285714	0.545454545454545	0.575757575757576	0.628571428571429	0.441176470588235	0.5	0.470588235294118	0.685714285714286	0.470588235294118	0.689655172413793	0.542857142857143	0.6	0.514285714285714	0.485714285714286	0.484848484848485	0.448275862068966	0.542857142857143	0.571428571428571	0.6	0.542857142857143	0.542857142857143	0.428571428571429	0.485714285714286	0.485714285714286	0.514285714285714	0.485714285714286	0.371428571428571	0.457142857142857	0.515151515151515	0.413793103448276	0.4	0.571428571428571	0.514285714285714	0.428571428571429	0.628571428571429	0.571428571428571	0.457142857142857	0.514285714285714	0.5	0.466666666666667	0.657142857142857	0.517241379310345	0.545454545454545	0.558823529411765	0.545454545454545	0.633333333333333	0.542857142857143	0.548387096774194	0.571428571428571	0.542857142857143	0.571428571428571	0.571428571428571	0.6	0.571428571428571	0.542857142857143	0.657142857142857	0.6	0.6	0.485714285714286	0.484848484848485	0.5	0.666666666666667	0.545454545454545	0.542857142857143	0.565217391304348	0.590909090909091	0.565217391304348	0.681818181818182	0.608695652173913	0.652173913043478	0.571428571428571	0.565217391304348	0.565217391304348	0.521739130434783	0.521739130434783	0.565217391304348	0.652173913043478	0.434782608695652	0.521739130434783	0.545454545454545	0.521739130434783	0.545454545454545	0.521739130434783	0.571428571428571	0.666666666666667	0.565217391304348	0.565217391304348	0.545454545454545	0.6	0.590909090909091	0.619047619047619	0.733333333333333	0.631578947368421
atpI	0.705882352941177	0.676470588235294	0.636363636363636	0.735294117647059	0.727272727272727	0.441176470588235	1	0.676470588235294	0.696969696969697	0.696969696969697	0.617647058823529	0.515151515151515	0.633333333333333	0.636363636363636	0.558823529411765	0.515151515151515	0.607142857142857	0.735294117647059	0.705882352941177	0.588235294117647	0.411764705882353	0.46875	0.392857142857143	0.558823529411765	0.676470588235294	0.566666666666667	0.647058823529412	0.705882352941177	0.411764705882353	0.5	0.441176470588235	0.411764705882353	0.441176470588235	0.323529411764706	0.470588235294118	0.34375	0.357142857142857	0.5	0.558823529411765	0.676470588235294	0.617647058823529	0.529411764705882	0.647058823529412	0.705882352941177	0.529411764705882	0.65625	0.482758620689655	0.558823529411765	0.586206896551724	0.75	0.636363636363636	0.78125	0.724137931034483	0.764705882352941	0.580645161290323	0.647058823529412	0.529411764705882	0.588235294117647	0.617647058823529	0.735294117647059	0.617647058823529	0.558823529411765	0.676470588235294	0.558823529411765	0.647058823529412	0.794117647058823	0.5	0.689655172413793	0.59375	0.666666666666667	0.647058823529412	0.681818181818182	0.681818181818182	0.727272727272727	0.681818181818182	0.681818181818182	0.636363636363636	0.666666666666667	0.636363636363636	0.636363636363636	0.636363636363636	0.727272727272727	0.681818181818182	0.727272727272727	0.772727272727273	0.727272727272727	0.681818181818182	0.681818181818182	0.714285714285714	0.727272727272727	0.7	0.823529411764706	0.636363636363636	0.681818181818182	0.727272727272727	0.65	0.636363636363636	0.8	0.733333333333333	0.684210526315789
ccsA	0.555555555555556	0.638888888888889	0.628571428571429	0.611111111111111	0.657142857142857	0.485714285714286	0.676470588235294	1	0.617647058823529	0.676470588235294	0.722222222222222	0.485714285714286	0.774193548387097	0.714285714285714	0.611111111111111	0.485714285714286	0.7	0.638888888888889	0.611111111111111	0.583333333333333	0.444444444444444	0.529411764705882	0.5	0.638888888888889	0.75	0.548387096774194	0.75	0.527777777777778	0.361111111111111	0.583333333333333	0.444444444444444	0.444444444444444	0.444444444444444	0.333333333333333	0.444444444444444	0.382352941176471	0.4	0.472222222222222	0.555555555555556	0.75	0.527777777777778	0.583333333333333	0.638888888888889	0.583333333333333	0.583333333333333	0.696969696969697	0.483870967741935	0.583333333333333	0.666666666666667	0.647058823529412	0.735294117647059	0.705882352941177	0.633333333333333	0.611111111111111	0.59375	0.666666666666667	0.555555555555556	0.638888888888889	0.666666666666667	0.666666666666667	0.555555555555556	0.583333333333333	0.666666666666667	0.555555555555556	0.666666666666667	0.666666666666667	0.5	0.709677419354839	0.647058823529412	0.705882352941177	0.75	0.791666666666667	0.739130434782609	0.666666666666667	0.739130434782609	0.625	0.708333333333333	0.761904761904762	0.75	0.791666666666667	0.75	0.708333333333333	0.75	0.666666666666667	0.666666666666667	0.75	0.739130434782609	0.708333333333333	0.739130434782609	0.75	0.727272727272727	0.842105263157895	0.75	0.791666666666667	0.826086956521739	0.714285714285714	0.739130434782609	0.772727272727273	0.733333333333333	0.75
cemA	0.676470588235294	0.764705882352941	0.696969696969697	0.647058823529412	0.727272727272727	0.515151515151515	0.696969696969697	0.617647058823529	1	0.696969696969697	0.676470588235294	0.545454545454545	0.612903225806452	0.727272727272727	0.647058823529412	0.484848484848485	0.607142857142857	0.823529411764706	0.823529411764706	0.588235294117647	0.470588235294118	0.53125	0.464285714285714	0.588235294117647	0.676470588235294	0.645161290322581	0.647058823529412	0.735294117647059	0.441176470588235	0.5	0.441176470588235	0.470588235294118	0.5	0.323529411764706	0.411764705882353	0.40625	0.392857142857143	0.5	0.588235294117647	0.617647058823529	0.647058823529412	0.588235294117647	0.647058823529412	0.705882352941177	0.5	0.545454545454545	0.517241379310345	0.617647058823529	0.566666666666667	0.8125	0.65625	0.8125	0.821428571428571	0.735294117647059	0.625	0.588235294117647	0.470588235294118	0.588235294117647	0.676470588235294	0.823529411764706	0.558823529411765	0.588235294117647	0.647058823529412	0.588235294117647	0.676470588235294	0.794117647058823	0.46875	0.724137931034483	0.75	0.727272727272727	0.676470588235294	0.772727272727273	0.772727272727273	0.681818181818182	0.727272727272727	0.636363636363636	0.636363636363636	0.7	0.772727272727273	0.772727272727273	0.681818181818182	0.772727272727273	0.727272727272727	0.772727272727273	0.681818181818182	0.863636363636364	0.727272727272727	0.727272727272727	0.761904761904762	0.818181818181818	0.8	0.882352941176471	0.772727272727273	0.818181818181818	0.863636363636364	0.75	0.681818181818182	0.85	0.8	0.842105263157895
chlI	0.588235294117647	0.705882352941177	0.757575757575758	0.647058823529412	0.676470588235294	0.545454545454545	0.696969696969697	0.676470588235294	0.696969696969697	1	0.735294117647059	0.636363636363636	0.7	0.727272727272727	0.764705882352941	0.470588235294118	0.714285714285714	0.764705882352941	0.705882352941177	0.647058823529412	0.441176470588235	0.5	0.428571428571429	0.617647058823529	0.676470588235294	0.766666666666667	0.676470588235294	0.588235294117647	0.411764705882353	0.529411764705882	0.529411764705882	0.470588235294118	0.441176470588235	0.382352941176471	0.5	0.40625	0.428571428571429	0.5	0.764705882352941	0.647058823529412	0.558823529411765	0.647058823529412	0.764705882352941	0.647058823529412	0.558823529411765	0.65625	0.517241379310345	0.676470588235294	0.586206896551724	0.6875	0.6875	0.75	0.75	0.735294117647059	0.741935483870968	0.676470588235294	0.5	0.676470588235294	0.676470588235294	0.705882352941177	0.705882352941177	0.558823529411765	0.794117647058823	0.764705882352941	0.794117647058823	0.764705882352941	0.5	0.724137931034483	0.75	0.666666666666667	0.705882352941177	0.782608695652174	0.826086956521739	0.739130434782609	0.826086956521739	0.652173913043478	0.695652173913043	0.80952380952381	0.739130434782609	0.739130434782609	0.739130434782609	0.782608695652174	0.739130434782609	0.739130434782609	0.652173913043478	0.782608695652174	0.826086956521739	0.826086956521739	0.863636363636364	0.782608695652174	0.857142857142857	0.944444444444444	0.782608695652174	0.869565217391304	0.782608695652174	0.80952380952381	0.739130434782609	0.857142857142857	0.8	0.8
