accD	atpA	atpB	atpE	atpF	atpH	atpI	ccsA	cemA	chlI	clpP	infA	petA	petB	petD	petG	petL	psaA	psaB	psaC	psaI	psaJ	psaM	psbA	psbB	psbC	psbD	psbE	psbF	psbH	psbI	psbJ	psbK	psbL	psbM	psbN	psbT	psbZ	rbcL	rpl12	rpl14	rpl16	rpl19	rpl2	rpl20	rpl23	rpl32	rpl36	rpl5	rpoA	rpoB	rpoC1	rpoC2	rps11	rps12	rps14	rps18	rps19	rps2	rps3	rps4	rps7	rps8	rps9	tufA	ycf1	ycf12	ycf20	ycf3	ycf4	cp_mt_ML	atp1	atp4	atp6	atp8	atp9	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6	nad7	rpl14 	rpl16 	rpl5 	rps10	rps11 	rps12 	rps13	rps14 	rps19 	rps2 	rps3 	rps4 
accD	0	28	22	26	24	36	22	28	26	22	28	38	26	28	28	50	26	14	14	34	54	42	36	36	20	26	26	44	50	36	46	48	52	54	52	46	48	44	24	28	30	26	22	30	36	26	36	32	28	22	24	18	12	26	18	26	34	28	24	24	24	32	30	24	16	20	56	22	26	24	20	14	16	16	14	18	16	18	14	22	20	18	22	16	28	18	18	18	24	16	16	12	22	20	18	14	18	14	10	16
atpA	28	0	22	32	30	40	30	30	26	22	28	36	20	32	32	48	30	16	20	32	52	44	40	42	22	26	24	40	50	38	44	56	48	56	52	44	46	48	28	30	32	34	26	32	34	34	32	34	34	16	20	20	12	32	20	34	38	36	24	26	34	30	32	32	24	16	56	26	20	28	16	12	12	18	16	26	16	14	20	22	14	20	22	12	26	22	22	18	22	20	18	4	26	18	22	12	18	14	12	16
atpB	22	22	0	28	28	38	32	30	26	20	30	40	26	32	30	50	28	18	22	36	56	46	36	40	16	18	28	42	52	38	48	50	50	56	56	42	46	44	24	34	36	32	28	34	30	36	38	36	32	22	20	22	14	28	20	28	38	36	24	22	30	34	36	28	18	22	52	28	26	28	20	10	10	14	12	22	14	14	16	20	16	16	22	10	26	16	18	16	22	14	14	6	22	16	16	8	14	10	8	16
atpE	26	32	28	0	32	42	22	28	26	20	30	36	22	36	32	54	32	20	24	36	48	40	38	36	22	28	30	46	50	36	44	48	46	52	54	44	46	40	24	34	30	32	26	28	40	38	34	38	28	26	24	20	14	22	28	28	38	36	26	32	36	34	28	32	30	24	56	30	30	30	24	16	18	24	20	24	22	20	20	22	24	24	22	22	28	20	22	24	28	20	22	14	24	18	20	18	22	18	12	16
atpF	24	30	28	32	0	38	28	28	30	26	32	36	22	30	24	42	28	20	20	32	54	40	36	32	24	22	24	42	46	34	42	50	52	52	48	46	44	40	24	26	30	24	20	30	28	26	36	34	28	22	20	18	10	28	20	26	26	34	26	30	28	32	34	28	22	20	52	24	26	24	26	12	16	18	14	22	20	14	18	24	18	16	18	14	24	18	22	16	22	18	14	8	18	18	20	12	14	12	10	16
atpH	36	40	38	42	38	0	44	44	40	38	42	44	36	46	44	50	34	38	36	42	56	46	32	38	36	32	40	48	48	40	52	52	54	54	54	46	46	52	40	42	42	40	40	42	42	40	38	36	38	36	38	36	26	40	38	40	42	40	38	36	38	36	40	36	38	40	52	38	34	42	38	26	24	24	24	28	22	24	28	30	26	28	30	24	32	30	28	28	30	28	26	14	32	30	30	18	24	26	18	22
atpI	22	30	32	22	28	44	0	22	26	20	30	36	22	24	36	44	26	20	24	38	52	40	38	32	22	30	26	34	48	32	46	48	50	52	44	46	46	48	32	30	32	30	24	28	42	26	34	34	26	22	26	18	20	22	26	24	40	32	30	26	28	28	24	36	26	18	52	26	28	26	24	14	18	20	18	18	18	22	16	22	18	20	16	20	24	18	18	20	22	18	16	8	20	16	20	18	22	10	10	16
ccsA	28	30	30	28	28	44	22	0	22	24	22	36	18	26	28	48	22	22	28	34	52	40	38	36	22	30	26	38	48	30	46	52	54	54	50	46	46	48	30	24	32	30	26	30	40	20	34	32	22	24	28	20	20	26	20	30	40	34	30	28	30	32	28	38	24	22	54	28	26	18	22	10	14	20	16	22	20	18	16	16	18	20	20	18	28	16	20	20	26	18	18	8	18	12	12	14	20	12	10	12
cemA	26	26	26	26	30	40	26	22	0	20	18	34	24	20	26	44	24	18	22	26	48	34	36	34	20	26	30	34	46	30	40	44	50	50	46	44	42	44	30	26	26	32	28	28	38	32	34	30	24	18	22	22	16	26	22	30	40	40	28	22	30	26	24	34	24	20	50	26	18	18	20	10	8	18	18	18	16	20	18	12	16	18	18	16	26	14	18	18	24	16	16	4	16	8	14	12	18	14	14	12
chlI	22	22	20	20	26	38	20	24	20	0	24	34	16	18	22	46	24	10	18	30	46	40	36	32	16	18	22	34	46	32	40	46	52	50	46	46	44	44	22	22	30	28	20	30	34	24	34	36	24	18	16	16	12	16	16	22	34	38	24	26	22	24	18	22	18	14	52	14	24	22	14	8	14	18	16	18	14	16	14	18	14	18	14	14	26	16	12	18	24	16	16	4	18	8	18	12	18	10	10	16
