accD	atpA	atpB	atpE	atpF	atpH	atpI	ccsA	cemA	chlI	clpP	infA	petA	petB	petD	petG	petL	psaA	psaB	psaC	psaI	psaJ	psaM	psbA	psbB	psbC	psbD	psbE	psbF	psbH	psbI	psbJ	psbK	psbL	psbM	psbN	psbT	psbZ	rbcL	rpl12	rpl14	rpl16	rpl19	rpl2	rpl20	rpl23	rpl32	rpl36	rpl5	rpoA	rpoB	rpoC1	rpoC2	rps11	rps12	rps14	rps18	rps19	rps2	rps3	rps4	rps7	rps8	rps9	tufA	ycf1	ycf12	ycf20	ycf3	ycf4	cp_mt_ML	atp1	atp4	atp6	atp8	atp9	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6	nad7	rpl14 	rpl16 	rpl5 	rps10	rps11 	rps12 	rps13	rps14 	rps19 	rps2 	rps3 	rps4 
accD	1	0.8	0.753623188405797	0.814285714285714	0.753623188405797	0.710144927536232	0.691176470588235	0.8	0.676470588235294	0.705882352941177	0.8	0.695652173913043	0.6	0.710144927536232	0.8	0.594202898550725	0.609375	0.9	0.9	0.757142857142857	0.614285714285714	0.632352941176471	NA	0.742857142857143	0.857142857142857	0.6	0.814285714285714	0.685714285714286	0.642857142857143	NA	0.671428571428571	0.657142857142857	0.628571428571429	0.614285714285714	0.628571428571429	0.602941176470588	0.515625	0.685714285714286	0.828571428571429	0.8	0.785714285714286	0.814285714285714	0.842857142857143	0.785714285714286	0.742857142857143	0.671641791044776	0.615384615384615	0.771428571428571	0.5625	0.705882352941177	0.75	0.691176470588235	0.671875	0.814285714285714	0.681818181818182	0.814285714285714	0.757142857142857	0.8	NA	0.828571428571429	0.828571428571429	0.771428571428571	NA	0.828571428571429	0.885714285714286	0.857142857142857	0.529411764705882	0.676923076923077	0.720588235294118	0.705882352941177	0.549707602339181	NA	0.347222222222222	0.356164383561644	0.347222222222222	0.342465753424658	0.356164383561644	0.314285714285714	0.356164383561644	0.356164383561644	0.356164383561644	0.356164383561644	0.328767123287671	0.342465753424658	0.328767123287671	0.356164383561644	0.347222222222222	0.36986301369863	0.785714285714286	0.814285714285714	0.5625	0.294117647058824	0.814285714285714	0.681818181818182	NA	0.814285714285714	0.8	NA	0.828571428571429	0.828571428571429
atpA	0.8	1	0.768115942028985	0.771428571428571	0.72463768115942	0.666666666666667	0.676470588235294	0.785714285714286	0.720588235294118	0.705882352941177	0.8	0.695652173913043	0.676923076923077	0.710144927536232	0.771428571428571	0.608695652173913	0.609375	0.885714285714286	0.857142857142857	0.771428571428571	0.628571428571429	0.602941176470588	NA	0.7	0.842857142857143	0.615384615384615	0.828571428571429	0.714285714285714	0.642857142857143	NA	0.685714285714286	0.6	0.657142857142857	0.6	0.628571428571429	0.617647058823529	0.515625	0.657142857142857	0.8	0.785714285714286	0.771428571428571	0.757142857142857	0.814285714285714	0.771428571428571	0.757142857142857	0.641791044776119	0.630769230769231	0.757142857142857	0.53125	0.75	0.764705882352941	0.705882352941177	0.671875	0.771428571428571	0.651515151515151	0.757142857142857	0.728571428571429	0.742857142857143	NA	0.814285714285714	0.757142857142857	0.785714285714286	NA	0.771428571428571	0.828571428571429	0.885714285714286	0.544117647058823	0.661538461538462	0.75	0.705882352941177	0.549707602339181	NA	0.347222222222222	0.356164383561644	0.361111111111111	0.342465753424658	0.356164383561644	0.328571428571429	0.36986301369863	0.356164383561644	0.356164383561644	0.356164383561644	0.342465753424658	0.356164383561644	0.328767123287671	0.356164383561644	0.347222222222222	0.36986301369863	0.771428571428571	0.757142857142857	0.53125	0.294117647058824	0.771428571428571	0.651515151515151	NA	0.757142857142857	0.742857142857143	NA	0.814285714285714	0.757142857142857
atpB	0.753623188405797	0.768115942028985	1	0.72463768115942	0.691176470588235	0.647058823529412	0.626865671641791	0.695652173913043	0.671641791044776	0.686567164179104	0.695652173913043	0.617647058823529	0.578125	0.661764705882353	0.681159420289855	0.558823529411765	0.555555555555556	0.782608695652174	0.753623188405797	0.652173913043478	0.550724637681159	0.626865671641791	NA	0.623188405797101	0.811594202898551	0.625	0.739130434782609	0.652173913043478	0.579710144927536	NA	0.594202898550725	0.579710144927536	0.594202898550725	0.536231884057971	0.550724637681159	0.597014925373134	0.492063492063492	0.63768115942029	0.72463768115942	0.666666666666667	0.652173913043478	0.681159420289855	0.710144927536232	0.666666666666667	0.72463768115942	0.590909090909091	0.5625	0.666666666666667	0.571428571428571	0.656716417910448	0.716417910447761	0.626865671641791	0.603174603174603	0.710144927536232	0.661538461538462	0.72463768115942	0.666666666666667	0.695652173913043	NA	0.739130434782609	0.72463768115942	0.666666666666667	NA	0.72463768115942	0.768115942028985	0.753623188405797	0.537313432835821	0.59375	0.671641791044776	0.641791044776119	0.50887573964497	NA	0.338028169014085	0.347222222222222	0.352112676056338	0.347222222222222	0.347222222222222	0.333333333333333	0.361111111111111	0.347222222222222	0.347222222222222	0.347222222222222	0.347222222222222	0.361111111111111	0.333333333333333	0.347222222222222	0.338028169014085	0.361111111111111	0.652173913043478	0.681159420289855	0.571428571428571	0.283582089552239	0.710144927536232	0.661538461538462	NA	0.72463768115942	0.695652173913043	NA	0.739130434782609	0.72463768115942
atpE	0.814285714285714	0.771428571428571	0.72463768115942	1	0.710144927536232	0.666666666666667	0.691176470588235	0.8	0.676470588235294	0.705882352941177	0.785714285714286	0.710144927536232	0.646153846153846	0.666666666666667	0.771428571428571	0.579710144927536	0.578125	0.857142857142857	0.828571428571429	0.742857142857143	0.657142857142857	0.632352941176471	NA	0.742857142857143	0.842857142857143	0.615384615384615	0.785714285714286	0.671428571428571	0.642857142857143	NA	0.685714285714286	0.657142857142857	0.671428571428571	0.628571428571429	0.614285714285714	0.602941176470588	0.515625	0.714285714285714	0.828571428571429	0.757142857142857	0.785714285714286	0.771428571428571	0.814285714285714	0.8	0.714285714285714	0.611940298507463	0.630769230769231	0.728571428571429	0.5625	0.705882352941177	0.75	0.720588235294118	0.65625	0.842857142857143	0.590909090909091	0.8	0.728571428571429	0.742857142857143	NA	0.771428571428571	0.742857142857143	0.757142857142857	NA	0.771428571428571	0.785714285714286	0.828571428571429	0.529411764705882	0.615384615384615	0.691176470588235	0.661764705882353	0.538011695906433	NA	0.333333333333333	0.342465753424658	0.347222222222222	0.342465753424658	0.342465753424658	0.328571428571429	0.356164383561644	0.342465753424658	0.342465753424658	0.342465753424658	0.342465753424658	0.356164383561644	0.328767123287671	0.342465753424658	0.333333333333333	0.342465753424658	0.785714285714286	0.771428571428571	0.5625	0.279411764705882	0.842857142857143	0.590909090909091	NA	0.8	0.742857142857143	NA	0.771428571428571	0.742857142857143
atpF	0.753623188405797	0.72463768115942	0.691176470588235	0.710144927536232	1	0.661764705882353	0.671641791044776	0.72463768115942	0.656716417910448	0.701492537313433	0.695652173913043	0.691176470588235	0.625	0.691176470588235	0.753623188405797	0.691176470588235	0.587301587301587	0.782608695652174	0.782608695652174	0.695652173913043	0.579710144927536	0.611940298507463	NA	0.695652173913043	0.768115942028985	0.609375	0.782608695652174	0.666666666666667	0.63768115942029	NA	0.652173913043478	0.608695652173913	0.579710144927536	0.579710144927536	0.623188405797101	0.582089552238806	0.507936507936508	0.652173913043478	0.753623188405797	0.739130434782609	0.710144927536232	0.753623188405797	0.782608695652174	0.710144927536232	0.753623188405797	0.681818181818182	0.59375	0.681159420289855	0.53968253968254	0.686567164179104	0.761194029850746	0.671641791044776	0.650793650793651	0.72463768115942	0.615384615384615	0.753623188405797	0.768115942028985	0.72463768115942	NA	0.710144927536232	0.753623188405797	0.695652173913043	NA	0.739130434782609	0.768115942028985	0.782608695652174	0.537313432835821	0.640625	0.686567164179104	0.701492537313433	0.50887573964497	NA	0.352112676056338	0.361111111111111	0.352112676056338	0.375	0.361111111111111	0.333333333333333	0.361111111111111	0.361111111111111	0.361111111111111	0.361111111111111	0.361111111111111	0.375	0.347222222222222	0.361111111111111	0.352112676056338	0.375	0.710144927536232	0.753623188405797	0.53968253968254	0.298507462686567	0.72463768115942	0.615384615384615	NA	0.753623188405797	0.72463768115942	NA	0.710144927536232	0.753623188405797
atpH	0.710144927536232	0.666666666666667	0.647058823529412	0.666666666666667	0.661764705882353	1	0.597014925373134	0.652173913043478	0.611940298507463	0.611940298507463	0.666666666666667	0.617647058823529	0.5625	0.602941176470588	0.652173913043478	0.573529411764706	0.571428571428571	0.695652173913043	0.710144927536232	0.666666666666667	0.565217391304348	0.582089552238806	NA	0.695652173913043	0.710144927536232	0.5625	0.681159420289855	0.623188405797101	0.623188405797101	NA	0.594202898550725	0.594202898550725	0.579710144927536	0.579710144927536	0.579710144927536	0.597014925373134	0.507936507936508	0.594202898550725	0.681159420289855	0.666666666666667	0.666666666666667	0.681159420289855	0.681159420289855	0.666666666666667	0.666666666666667	0.575757575757576	0.5625	0.695652173913043	0.523809523809524	0.626865671641791	0.671641791044776	0.626865671641791	0.650793650793651	0.681159420289855	0.553846153846154	0.681159420289855	0.666666666666667	0.681159420289855	NA	0.710144927536232	0.681159420289855	0.710144927536232	NA	0.710144927536232	0.695652173913043	0.681159420289855	0.537313432835821	0.578125	0.671641791044776	0.597014925373134	0.485207100591716	NA	0.323943661971831	0.333333333333333	0.323943661971831	0.333333333333333	0.333333333333333	0.318840579710145	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.319444444444444	0.333333333333333	0.319444444444444	0.333333333333333	0.323943661971831	0.333333333333333	0.666666666666667	0.681159420289855	0.523809523809524	0.26865671641791	0.681159420289855	0.553846153846154	NA	0.681159420289855	0.681159420289855	NA	0.710144927536232	0.681159420289855
atpI	0.691176470588235	0.676470588235294	0.626865671641791	0.691176470588235	0.671641791044776	0.597014925373134	1	0.735294117647059	0.696969696969697	0.772727272727273	0.676470588235294	0.656716417910448	0.634920634920635	0.701492537313433	0.632352941176471	0.597014925373134	0.564516129032258	0.720588235294118	0.705882352941177	0.632352941176471	0.558823529411765	0.545454545454545	NA	0.632352941176471	0.720588235294118	0.603174603174603	0.720588235294118	0.705882352941177	0.588235294117647	NA	0.588235294117647	0.573529411764706	0.558823529411765	0.558823529411765	0.632352941176471	0.545454545454545	0.483870967741935	0.588235294117647	0.676470588235294	0.676470588235294	0.632352941176471	0.691176470588235	0.720588235294118	0.691176470588235	0.617647058823529	0.692307692307692	0.571428571428571	0.661764705882353	0.564516129032258	0.666666666666667	0.696969696969697	0.651515151515151	0.580645161290323	0.705882352941177	0.640625	0.705882352941177	0.632352941176471	0.705882352941177	NA	0.691176470588235	0.691176470588235	0.691176470588235	NA	0.632352941176471	0.705882352941177	0.75	0.515151515151515	0.555555555555556	0.636363636363636	0.727272727272727	0.538922155688623	NA	0.328571428571429	0.323943661971831	0.342857142857143	0.309859154929577	0.323943661971831	0.338235294117647	0.338028169014085	0.323943661971831	0.323943661971831	0.323943661971831	0.338028169014085	0.323943661971831	0.309859154929577	0.323943661971831	0.328571428571429	0.338028169014085	0.632352941176471	0.691176470588235	0.564516129032258	0.272727272727273	0.705882352941177	0.640625	NA	0.705882352941177	0.705882352941177	NA	0.691176470588235	0.691176470588235
ccsA	0.8	0.785714285714286	0.695652173913043	0.8	0.72463768115942	0.652173913043478	0.735294117647059	1	0.705882352941177	0.705882352941177	0.842857142857143	0.695652173913043	0.661538461538462	0.72463768115942	0.8	0.608695652173913	0.640625	0.842857142857143	0.8	0.757142857142857	0.628571428571429	0.632352941176471	NA	0.742857142857143	0.842857142857143	0.615384615384615	0.814285714285714	0.728571428571429	0.657142857142857	NA	0.671428571428571	0.628571428571429	0.614285714285714	0.614285714285714	0.642857142857143	0.602941176470588	0.515625	0.657142857142857	0.785714285714286	0.828571428571429	0.771428571428571	0.785714285714286	0.814285714285714	0.785714285714286	0.714285714285714	0.73134328358209	0.615384615384615	0.771428571428571	0.5625	0.720588235294118	0.705882352941177	0.705882352941177	0.625	0.814285714285714	0.651515151515151	0.785714285714286	0.714285714285714	0.757142857142857	NA	0.8	0.785714285714286	0.771428571428571	NA	0.728571428571429	0.828571428571429	0.842857142857143	0.544117647058823	0.615384615384615	0.691176470588235	0.720588235294118	0.538011695906433	NA	0.347222222222222	0.356164383561644	0.361111111111111	0.342465753424658	0.356164383561644	0.342857142857143	0.36986301369863	0.356164383561644	0.356164383561644	0.356164383561644	0.342465753424658	0.356164383561644	0.328767123287671	0.356164383561644	0.347222222222222	0.36986301369863	0.771428571428571	0.785714285714286	0.5625	0.294117647058824	0.814285714285714	0.651515151515151	NA	0.785714285714286	0.757142857142857	NA	0.8	0.785714285714286
cemA	0.676470588235294	0.720588235294118	0.671641791044776	0.676470588235294	0.656716417910448	0.611940298507463	0.696969696969697	0.705882352941177	1	0.727272727272727	0.735294117647059	0.641791044776119	0.666666666666667	0.701492537313433	0.661764705882353	0.597014925373134	0.564516129032258	0.735294117647059	0.720588235294118	0.705882352941177	0.588235294117647	0.575757575757576	NA	0.632352941176471	0.75	0.666666666666667	0.705882352941177	0.705882352941177	0.602941176470588	NA	0.632352941176471	0.617647058823529	0.558823529411765	0.573529411764706	0.617647058823529	0.545454545454545	0.5	0.602941176470588	0.676470588235294	0.676470588235294	0.676470588235294	0.661764705882353	0.691176470588235	0.676470588235294	0.647058823529412	0.676923076923077	0.571428571428571	0.691176470588235	0.612903225806452	0.681818181818182	0.681818181818182	0.621212121212121	0.596774193548387	0.676470588235294	0.671875	0.676470588235294	0.632352941176471	0.647058823529412	NA	0.720588235294118	0.691176470588235	0.705882352941177	NA	0.661764705882353	0.720588235294118	0.735294117647059	0.53030303030303	0.587301587301587	0.681818181818182	0.712121212121212	0.526946107784431	NA	0.342857142857143	0.338028169014085	0.342857142857143	0.323943661971831	0.338028169014085	0.308823529411765	0.338028169014085	0.338028169014085	0.338028169014085	0.338028169014085	0.309859154929577	0.323943661971831	0.309859154929577	0.338028169014085	0.342857142857143	0.352112676056338	0.676470588235294	0.661764705882353	0.612903225806452	0.272727272727273	0.676470588235294	0.671875	NA	0.676470588235294	0.647058823529412	NA	0.720588235294118	0.691176470588235
chlI	0.705882352941177	0.705882352941177	0.686567164179104	0.705882352941177	0.701492537313433	0.611940298507463	0.772727272727273	0.705882352941177	0.727272727272727	1	0.676470588235294	0.656716417910448	0.666666666666667	0.716417910447761	0.676470588235294	0.611940298507463	0.564516129032258	0.764705882352941	0.735294117647059	0.661764705882353	0.573529411764706	0.560606060606061	NA	0.632352941176471	0.75	0.650793650793651	0.735294117647059	0.691176470588235	0.602941176470588	NA	0.602941176470588	0.588235294117647	0.544117647058823	0.573529411764706	0.617647058823529	0.545454545454545	0.5	0.602941176470588	0.691176470588235	0.691176470588235	0.647058823529412	0.691176470588235	0.720588235294118	0.661764705882353	0.661764705882353	0.692307692307692	0.571428571428571	0.647058823529412	0.580645161290323	0.696969696969697	0.727272727272727	0.651515151515151	0.580645161290323	0.735294117647059	0.640625	0.705882352941177	0.676470588235294	0.661764705882353	NA	0.691176470588235	0.705882352941177	0.676470588235294	NA	0.705882352941177	0.735294117647059	0.75	0.515151515151515	0.587301587301587	0.636363636363636	0.742424242424242	0.562874251497006	NA	0.357142857142857	0.352112676056338	0.371428571428571	0.338028169014085	0.352112676056338	0.338235294117647	0.366197183098592	0.352112676056338	0.352112676056338	0.352112676056338	0.338028169014085	0.352112676056338	0.323943661971831	0.352112676056338	0.357142857142857	0.366197183098592	0.647058823529412	0.691176470588235	0.580645161290323	0.287878787878788	0.735294117647059	0.640625	NA	0.705882352941177	0.661764705882353	NA	0.691176470588235	0.705882352941177
